Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi
MTCD+BSIF;17x17;7;0,6;linear;1;99,948 $\pm$ 0,09
MTCD+BSIF;17x17;7;0,8;linear;1;99,948 $\pm$ 0,09
MTCD+BSIF;17x17;7;N/A;linear;1;99,948 $\pm$ 0,09
MTCD+BSIF;17x17;7;N/A;rbf;10;99,948 $\pm$ 0,09
MTCD+BSIF;17x17;7;N/A;rbf;100;99,948 $\pm$ 0,09
MTCD+BSIF;17x17;7;0,8;linear;100;99,896 $\pm$ 0,18
MTCD+BSIF;17x17;7;N/A;linear;10;99,896 $\pm$ 0,18
MTCD+BSIF;17x17;7;0,6;linear;10;99,896 $\pm$ 0,18
MTCD+BSIF;17x17;7;N/A;linear;100;99,896 $\pm$ 0,18
MTCD+BSIF;17x17;7;0,8;linear;10;99,896 $\pm$ 0,18
MTCD+BSIF;17x17;7;0,6;linear;100;99,896 $\pm$ 0,18
MTCD+BSIF;17x17;9;0,6;linear;1;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;N/A;linear;1;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;0,8;linear;10;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;0,6;linear;100;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;0,6;linear;10;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;0,8;linear;100;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;N/A;poly;1;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;0,8;linear;1;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;N/A;poly;100;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;N/A;rbf;100;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;0,4;linear;1;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;0,4;linear;10;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;N/A;rbf;10;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;0,4;linear;100;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;N/A;poly;10;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;N/A;linear;100;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;9;N/A;linear;10;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;7;0,4;linear;1;99,896 $\pm$ 0,18
MTCD+BSIF;17x17;7;N/A;poly;1;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;7;N/A;poly;10;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;7;N/A;poly;100;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;6;N/A;linear;1;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;6;0,6;linear;1;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;6;0,8;linear;1;99,896 $\pm$ 0,104
MTCD+BSIF;17x17;7;0,4;linear;100;99,844 $\pm$ 0,271
MTCD+BSIF;17x17;7;0,4;linear;10;99,844 $\pm$ 0,271
MTCD+BSIF;17x17;6;0,4;linear;1;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;7;0,6;rbf;100;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;7;0,4;rbf;10;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;7;0,6;rbf;10;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;7;0,4;rbf;100;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;6;N/A;linear;100;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;6;0,6;linear;100;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;6;N/A;linear;10;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;6;0,6;linear;10;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;6;0,8;linear;100;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;6;0,8;linear;10;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;10;0,6;linear;100;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;10;N/A;poly;1;99,844 $\pm$ 0,09
MTCD+BSIF;17x17;10;0,6;linear;1;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;10;N/A;poly;100;99,844 $\pm$ 0,09
MTCD+BSIF;17x17;10;0,6;linear;10;99,844 $\pm$ 0,173
MTCD+BSIF;17x17;10;N/A;poly;10;99,844 $\pm$ 0,09
MTCD+BSIF;17x17;8;N/A;poly;10;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;8;N/A;poly;1;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;8;N/A;poly;100;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;7;0,8;rbf;10;99,792 $\pm$ 0,208
MTCD+BSIF;17x17;7;0,8;rbf;100;99,792 $\pm$ 0,208
MTCD+BSIF;17x17;6;0,4;linear;10;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;6;0,4;linear;100;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;12;0,6;linear;100;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;12;0,8;linear;100;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;12;0,6;linear;10;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;12;N/A;linear;1;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;12;0,8;linear;1;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;12;0,8;linear;10;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;12;N/A;linear;100;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;12;N/A;linear;10;99,792 $\pm$ 0,255
MTCD+BSIF;17x17;6;N/A;poly;100;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;6;N/A;poly;1;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;6;N/A;poly;10;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;7;0,2;linear;1;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;12;N/A;poly;1;99,792 $\pm$ 0
MTCD+BSIF;17x17;12;N/A;poly;100;99,792 $\pm$ 0
MTCD+BSIF;17x17;12;N/A;poly;10;99,792 $\pm$ 0
MTCD+BSIF;17x17;10;0,4;linear;10;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;10;0,8;linear;100;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;10;0,4;linear;100;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;10;N/A;rbf;10;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;10;0,8;linear;1;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;10;0,4;linear;1;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;10;0,8;linear;10;99,792 $\pm$ 0,147
MTCD+BSIF;17x17;10;N/A;linear;100;99,792 $\pm$ 0,147
